BIRTHDAY ,CARD ,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,,
June 21,9 ♣,6/21,8/12,10/3,11/24,1/16,3/9,4/30,,
June 22,8 ♣,6/22,8/13,10/4,11/25,1/17,3/10,5/1,,
June 23,7 ♣,6/23,8/14,10/5,11/26,1/18,3/11,5/2,,
June 24,6 ♣,6/24,8/15,10/6,11/27,1/19,3/12,5/3,,
June 25,5 ♣,6/25,8/16,10/7,11/28,1/20,3/13,5/4,,
June 26,4 ♣,6/26,8/17,10/8,11/29,1/21,3/14,5/5,,
June 27,3 ♣,6/27,8/18,10/9,11/30,1/22,3/15,5/6,,
June 28,2 ♣,6/28,8/19,10/10,12/1,1/23,3/16,5/7,,
June 29,A ♣,6/29,8/20,10/11,12/2,1/24,3/17,5/8,,
June 30,K  ♥,6/30,8/21,10/12,12/3,1/25,3/18,5/9,,
July 1,A ♠,7/1,8/22,10/13,12/4,1/26,3/19,5/10,,
July 2,K ♦,7/2,8/23,10/14,12/5,1/27,3/20,5/11,,
July 3,Q ♦,7/3,8/24,10/15,12/6,1/28,3/21,5/12,,
July 4,J ♦,7/4,8/25,10/16,12/7,1/29,3/22,5/13,,
July 5,10 ♦,7/5,8/26,10/17,12/8,1/30,3/23,5/14,,
July 6,9 ♦,7/6,8/27,10/18,12/9,1/31,3/24,5/15,,
July 7,8 ♦,7/7,8/28,10/19,12/10,2/1,3/25,5/16,,
July 8,7 ♦,7/8,8/29,10/20,12/11,2/2,3/26,5/17,,
July 9,6 ♦,7/9,8/30,10/21,12/12,2/3,3/27,5/18,,
July 10,5 ♦,7/10,8/31,10/22,12/13,2/4,3/28,5/19,,
July 11,4 ♦,7/11,9/1,10/23,12/14,2/5,3/29,5/20,,
July 12,3 ♦,7/12,9/2,10/24,12/15,2/6,3/30,5/21,,
July 13,2 ♦,7/13,9/3,10/25,12/16,2/7,3/31,5/22,,
July 14,A ♦,7/14,9/4,10/26,12/17,2/8,4/1,5/23,,
July 15,K ♣,7/15,9/5,10/27,12/18,2/9,4/2,5/24,,
July 16,Q ♣,7/16,9/6,10/28,12/19,2/10,4/3,5/25,,
July 17,J ♣,7/17,9/7,10/29,12/20,2/11,4/4,5/26,,
July 18,10 ♣,7/18,9/8,10/30,12/21,2/12,4/5,5/27,,
July 19,9 ♣,7/19,9/9,10/31,12/22,2/13,4/6,5/28,,
July 20,8 ♣,7/20,9/10,11/1,12/23,2/14,4/7,5/29,,
July 21,7 ♣,7/21,9/11,11/2,12/24,2/15,4/8,5/30,,
July 22,6 ♣,7/22,9/12,11/3,12/25,2/16,4/9,5/31,,
July 23,5 ♣,7/23,9/13,11/4,12/26,2/17,4/10,6/1,,
July 24,4 ♣,7/24,9/14,11/5,12/27,2/18,4/11,6/2,,
July 25,3 ♣,7/25,9/15,11/6,12/28,2/19,4/12,6/3,,
July 26,2 ♣,7/26,9/16,11/7,12/29,2/20,4/13,6/4,,
July 27,A ♣,7/27,9/17,11/8,12/30,2/21,4/14,6/5,,
July 28,K ♥,7/28,9/18,11/9,1/1,2/22,4/15,6/6,,
July 29,Q ♥,7/29,9/19,11/10,1/2,2/23,4/16,6/7,,
July 30,J ♥,7/30,9/20,11/11,1/3,2/24,4/17,6/8,,
July 31,10 ♥,7/31,9/21,11/12,1/4,2/25,4/18,6/9,,
August 1,Q ♦,8/1,9/22,11/13,1/5,2/26,4/19,6/10,,
August 2,J ♦,8/2,9/23,11/14,1/6,2/27,4/20,6/11,,
August 3,10 ♦,8/3,9/24,11/15,1/7,2/28,4/21,6/12,,
August 4,9 ♦,8/4,9/25,11/16,1/8,3/1,4/22,6/13,,
August 5,8 ♦,8/5,9/26,11/17,1/9,3/2,4/23,6/14,,
August 6,7 ♦,8/6,9/27,11/18,1/10,3/3,4/24,6/15,,
August 7,6 ♦,8/7,9/28,11/19,1/11,3/4,4/25,6/16,,
August 8,5 ♦,8/8,9/29,11/20,1/12,3/5,4/26,6/17,,
August 9,4 ♦,8/9,9/30,11/21,1/13,3/6,4/27,6/18,,
August 10,3 ♦,8/10,10/1,11/22,1/14,3/7,4/28,6/19,,
August 11,2 ♦,8/11,10/2,11/23,1/15,3/8,4/29,6/20,,
August 12,A ♦,8/12,10/3,11/24,1/16,3/9,4/30,6/21,,
August 13,K ♣,8/13,10/4,11/25,1/17,3/10,5/1,6/22,,
August 14,Q ♣,8/14,10/5,11/26,1/18,3/11,5/2,6/23,,
August 15,J ♣,8/15,10/6,11/27,1/19,3/12,5/3,6/24,,
August 16,10 ♣,8/16,10/7,11/28,1/20,3/13,5/4,6/25,,
August 17,9 ♣,8/17,10/8,11/29,1/21,3/14,5/5,6/26,,
